cntry,att_label,att_norm,vote_label,vote_norm,rule,same
BE,Parti Populaire,parti populaire,PTB,ptb,none,FALSE
BE,SP.A,sp a,Ecolo,ecolo,none,FALSE
BE,CD&V,cd v,CDH,cdh,none,FALSE
BE,PS,ps,Parti Populaire,parti populaire,none,FALSE
BE,DéFI,defi,PS,ps,none,FALSE
BE,DéFI,defi,N-VA,n va,none,FALSE
BE,Parti Populaire,parti populaire,PS,ps,none,FALSE
BE,DéFI,defi,PTB,ptb,none,FALSE
BE,DéFI,defi,CDH,cdh,none,FALSE
BE,PS,ps,DéFI,defi,none,FALSE
BE,PVDA+,pvda,Groen!,groen,none,FALSE
BE,DéFI,defi,Vlaams Belang,vlaams belang,none,FALSE
BE,CD&V,cd v,Ecolo,ecolo,none,FALSE
BG,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,exact,TRUE
BG,Vazrazhdane,vazrazhdane,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,none,FALSE
BG,Dvizhenie za prava i svobodi (DPS),dvizhenie za prava i svobodi dps,Dvizhenie za prava i svobodi (DPS),dvizhenie za prava i svobodi dps,exact,TRUE
BG,Izpravi se! Mutri van!,izpravi se mutri van,Izpravi se! Mutri van!,izpravi se mutri van,exact,TRUE
BG,Vazrazhdane,vazrazhdane,Vazrazhdane,vazrazhdane,exact,TRUE
BG,Ima takav narod,ima takav narod,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,none,FALSE
BG,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,exact,TRUE
BG,Ima takav narod,ima takav narod,Ima takav narod,ima takav narod,exact,TRUE
BG,Demokratichna Balgariya,demokratichna balgariya,Demokratichna Balgariya,demokratichna balgariya,exact,TRUE
BG,PP VMRO – Balgarsko natsionalno dvizhenie,pp vmro balgarsko natsionalno dvizhenie,PP VMRO – Balgarsko natsionalno dvizhenie,pp vmro balgarsko natsionalno dvizhenie,exact,TRUE
BG,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,Dvizhenie za prava i svobodi (DPS),dvizhenie za prava i svobodi dps,none,FALSE
BG,PP Ataka,pp ataka,PP Ataka,pp ataka,exact,TRUE
BG,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,none,FALSE
BG,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,Ima takav narod,ima takav narod,none,FALSE
BG,Dvizhenie za prava i svobodi (DPS),dvizhenie za prava i svobodi dps,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,none,FALSE
BG,NFSB-Volya,nfsb volya,NFSB-Volya,nfsb volya,exact,TRUE
BG,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),grazhdani za evropeisko razvitie na bulgariya gerb,Ima takav narod,ima takav narod,none,FALSE
BG,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,Dvizhenie za prava i svobodi (DPS),dvizhenie za prava i svobodi dps,none,FALSE
BG,Ima takav narod,ima takav narod,Dvizhenie za prava i svobodi (DPS),dvizhenie za prava i svobodi dps,none,FALSE
BG,PP VMRO – Balgarsko natsionalno dvizhenie,pp vmro balgarsko natsionalno dvizhenie,NFSB-Volya,nfsb volya,none,FALSE
BG,Republikantsi za Balgariya,republikantsi za balgariya,Republikantsi za Balgariya,republikantsi za balgariya,exact,TRUE
BG,Ima takav narod,ima takav narod,Vazrazhdane,vazrazhdane,none,FALSE
BG,Demokratichna Balgariya,demokratichna balgariya,Izpravi se! Mutri van!,izpravi se mutri van,none,FALSE
BG,Ima takav narod,ima takav narod,Demokratichna Balgariya,demokratichna balgariya,none,FALSE
BG,Prodalzhavame Promyanata – Demokratichna Balgariya (PP-DB),prodalzhavame promyanata demokratichna balgariya pp db,Prodalzhavame Promyanata – Demokratichna Balgariya (PP-DB),prodalzhavame promyanata demokratichna balgariya pp db,exact,TRUE
BG,Grazhdani za evropeysko razvitie na Balgariya – Sayuz na demokratichnite sili (GERB - SDS),grazhdani za evropeysko razvitie na balgariya sayuz na demokratichnite sili gerb sds,Grazhdani za evropeysko razvitie na Balgariya – Sayuz na demokratichnite sili (GERB - SDS),grazhdani za evropeysko razvitie na balgariya sayuz na demokratichnite sili gerb sds,exact,TRUE
BG,Bulgarski Vazhod,bulgarski vazhod,Bulgarski Vazhod,bulgarski vazhod,exact,TRUE
BG,Levitsata!,levitsata,Levitsata!,levitsata,exact,TRUE
BG,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,Levitsata!,levitsata,none,FALSE
BG,Grazhdani za evropeysko razvitie na Balgariya – Sayuz na demokratichnite sili (GERB - SDS),grazhdani za evropeysko razvitie na balgariya sayuz na demokratichnite sili gerb sds,Prodalzhavame Promyanata – Demokratichna Balgariya (PP-DB),prodalzhavame promyanata demokratichna balgariya pp db,none,FALSE
BG,Balgarska sotsialisticheska partiya (BSP),balgarska sotsialisticheska partiya bsp,Grazhdani za evropeysko razvitie na Balgariya – Sayuz na demokratichnite sili (GERB - SDS),grazhdani za evropeysko razvitie na balgariya sayuz na demokratichnite sili gerb sds,none,FALSE
BG,Grazhdani za evropeysko razvitie na Balgariya – Sayuz na demokratichnite sili (GERB - SDS),grazhdani za evropeysko razvitie na balgariya sayuz na demokratichnite sili gerb sds,Dvizhenie za prava i svobodi (DPS),dvizhenie za prava i svobodi dps,none,FALSE
BG,Natsionalno dvizhenie za stabilnost i vazhod (NDSV),natsionalno dvizhenie za stabilnost i vazhod ndsv,Natsionalno dvizhenie za stabilnost i vazhod (NDSV),natsionalno dvizhenie za stabilnost i vazhod ndsv,exact,TRUE
BG,Vazrazhdane,vazrazhdane,Prodalzhavame Promyanata – Demokratichna Balgariya (PP-DB),prodalzhavame promyanata demokratichna balgariya pp db,none,FALSE
BG,DSB,dsb,DSB,dsb,exact,TRUE
BG,PP Ataka,pp ataka,Koalitziia Ataka,koalitziia ataka,none,TRUE
